,age,job,marital,education,balance,housing,loan,duration,campaign,pdays,poutcome,y
2354,41.61746987951807,management,1.0,secondary,1136.7502401536983,no,no,132.0,4,-1,unknown,no
2359,36.0,services,1.0,secondary,417.0,yes,no,15.0,10,207,failure,no
2361,37.0,services,0.0,secondary,532.0,yes,no,199.0,1,-1,unknown,no
2369,45.0,entrepreneur,2.0,secondary,68.0,yes,no,254.0,1,-1,unknown,no
2373,28.0,blue-collar,2.0,secondary,8.0,yes,no,196.0,1,-1,unknown,no
2378,39.0,blue-collar,2.0,secondary,1439.0,yes,no,73.0,6,-1,unknown,no
2385,47.0,services,2.0,secondary,3333.0,yes,yes,114.0,2,-1,unknown,no
2386,33.0,technician,2.0,tertiary,16992.0,yes,no,58.0,1,-1,unknown,no
2390,41.61746987951807,retired,1.0,secondary,366.0,no,yes,234.0,2,-1,unknown,no
2403,42.0,technician,2.0,secondary,148.0,yes,no,23.0,2,-1,unknown,no
2409,32.0,admin.,1.0,secondary,1649.0,no,no,204.0,2,-1,unknown,no
2441,36.0,admin.,2.0,secondary,957.0,yes,no,206.0,1,-1,unknown,no
2444,41.61746987951807,management,2.0,secondary,724.0,yes,no,287.0,2,415,failure,no
2457,50.0,unemployed,0.0,secondary,32.0,no,no,282.0,2,-1,unknown,no
2458,47.0,admin.,2.0,secondary,31.0,yes,yes,128.0,6,-1,unknown,no
2471,22.0,student,1.0,secondary,2488.0,no,no,449.0,2,38,other,yes
2487,31.0,unknown,0.0,tertiary,137.0,no,no,385.0,9,-1,unknown,no
2489,55.0,retired,2.0,primary,-966.0,no,yes,264.7240200546946,1,-1,unknown,no
2495,38.0,self-employed,1.0,tertiary,917.0,yes,no,260.0,1,-1,unknown,no
2509,41.0,blue-collar,2.0,primary,1136.7502401536983,yes,no,232.0,3,-1,unknown,no
2518,30.0,technician,1.0,secondary,175.0,no,no,167.0,4,-1,unknown,no
2527,36.0,services,1.0,secondary,398.0,yes,yes,77.0,2,-1,unknown,no
2529,48.0,management,1.0,tertiary,816.0,no,no,125.0,1,111,failure,no
2530,33.0,management,1.0,tertiary,1136.7502401536983,no,no,53.0,4,-1,unknown,no
2538,44.0,management,2.0,secondary,-1746.0,yes,no,218.0,1,-1,unknown,no
2560,44.0,blue-collar,2.0,secondary,171.0,yes,no,143.0,3,357,failure,no
2582,32.0,blue-collar,2.0,secondary,9.0,yes,no,334.0,2,-1,unknown,no
2598,36.0,blue-collar,1.0,primary,367.0,yes,no,217.0,1,221,failure,no
2600,45.0,management,0.0,tertiary,959.0,no,no,74.0,1,-1,unknown,no
2603,26.0,management,1.0,tertiary,-8.0,no,no,402.0,2,-1,unknown,no
2604,57.0,management,2.0,unknown,1136.7502401536983,no,no,585.0,1,-1,unknown,yes
2617,41.0,services,2.0,secondary,171.0,no,no,71.0,9,-1,unknown,no
2625,42.0,blue-collar,2.0,primary,2111.0,yes,no,86.0,2,-1,unknown,no
2628,31.0,blue-collar,0.0,secondary,-452.0,yes,no,182.0,5,-1,unknown,no
2643,56.0,retired,0.0,secondary,212.0,no,yes,27.0,1,-1,unknown,no
2660,32.0,unemployed,2.0,secondary,1.0,yes,no,501.0,4,-1,unknown,yes
2670,46.0,admin.,2.0,secondary,1136.7502401536983,yes,yes,239.0,2,259,failure,no
2672,39.0,services,2.0,secondary,-54.0,no,no,29.0,1,-1,unknown,no
2696,55.0,management,0.0,tertiary,9756.0,yes,no,103.0,2,95,other,no
2698,41.61746987951807,management,2.0,tertiary,697.0,no,no,166.0,1,-1,unknown,no
2723,41.61746987951807,technician,1.0,tertiary,9851.0,yes,no,264.7240200546946,5,-1,unknown,no
2726,31.0,management,2.0,secondary,1368.0,yes,no,129.0,4,-1,unknown,no
2735,47.0,entrepreneur,2.0,tertiary,459.0,yes,no,189.0,4,-1,unknown,no
2743,41.61746987951807,technician,2.0,secondary,167.0,no,yes,179.0,6,-1,unknown,no
2745,41.61746987951807,management,2.0,tertiary,1657.0,yes,no,566.0,2,356,failure,yes
2753,41.61746987951807,management,2.0,tertiary,133.0,yes,no,264.7240200546946,1,-1,unknown,no
2761,41.61746987951807,blue-collar,0.0,secondary,1136.7502401536983,yes,no,477.0,1,-1,unknown,yes
2765,41.61746987951807,retired,2.0,secondary,695.0,yes,yes,410.0,5,-1,unknown,no
2768,54.0,services,2.0,secondary,88.0,yes,no,190.0,1,-1,unknown,no
2785,41.0,technician,2.0,secondary,92.0,no,no,35.0,6,-1,unknown,no
2794,44.0,blue-collar,2.0,secondary,191.0,yes,no,41.0,1,-1,unknown,no
2798,36.0,blue-collar,2.0,secondary,141.0,yes,no,106.0,3,-1,unknown,no
2799,43.0,management,2.0,tertiary,2886.0,no,no,230.0,1,-1,unknown,no
2811,44.0,blue-collar,2.0,primary,134.0,yes,no,378.0,1,-1,unknown,no
2820,41.61746987951807,management,2.0,tertiary,1116.0,yes,no,53.0,5,-1,unknown,no
2835,37.0,management,2.0,tertiary,489.0,yes,no,205.0,5,-1,unknown,no
2837,43.0,blue-collar,2.0,secondary,699.0,yes,yes,1258.0,2,122,other,yes
2841,32.0,technician,1.0,tertiary,741.0,yes,no,238.0,1,-1,unknown,no
2844,46.0,admin.,2.0,secondary,12.0,yes,no,20.0,11,-1,unknown,no
2853,33.0,technician,2.0,secondary,935.0,yes,no,407.0,2,-1,unknown,no
2866,36.0,admin.,2.0,secondary,1136.7502401536983,yes,yes,101.0,2,-1,unknown,no
2869,49.0,services,2.0,secondary,28.0,yes,no,162.0,3,-1,unknown,no
2896,80.0,retired,2.0,primary,1548.0,no,no,331.0,2,-1,unknown,no
2916,32.0,admin.,1.0,secondary,1218.0,yes,no,149.0,2,-1,unknown,no
2926,33.0,blue-collar,2.0,tertiary,1465.0,no,no,98.0,4,-1,unknown,no
2946,45.0,admin.,2.0,secondary,-388.0,yes,no,175.0,2,-1,unknown,no
2947,40.0,self-employed,2.0,tertiary,163.0,no,no,279.0,1,-1,unknown,no
2954,51.0,services,2.0,secondary,1136.7502401536983,no,yes,565.0,3,-1,unknown,yes
2965,41.61746987951807,blue-collar,2.0,primary,3587.0,yes,no,148.0,4,-1,unknown,no
2975,48.0,technician,1.0,tertiary,-551.0,yes,no,168.0,2,-1,unknown,no
2983,41.61746987951807,retired,2.0,secondary,1278.0,yes,no,174.0,3,-1,unknown,no
2989,42.0,entrepreneur,2.0,tertiary,4245.0,yes,no,205.0,2,-1,unknown,no
3012,36.0,services,2.0,secondary,-11.0,yes,no,172.0,28,-1,unknown,no
3013,49.0,technician,2.0,tertiary,523.0,yes,no,152.0,2,-1,unknown,no
3027,40.0,management,2.0,tertiary,1136.7502401536983,no,no,147.0,1,96,success,no
3035,55.0,unemployed,2.0,tertiary,489.0,yes,no,223.0,2,186,other,no
3038,49.0,services,2.0,secondary,221.0,yes,no,233.0,3,-1,unknown,no
3043,40.0,blue-collar,2.0,primary,1397.0,yes,no,58.0,2,334,failure,no
3045,41.61746987951807,technician,2.0,tertiary,3177.0,no,no,92.0,2,-1,unknown,no
3056,23.0,services,1.0,secondary,5.0,yes,no,111.0,3,-1,unknown,no
3064,43.0,management,1.0,tertiary,1696.0,yes,no,257.0,1,474,failure,no
3092,46.0,management,2.0,tertiary,523.0,yes,no,105.0,4,366,failure,no
3109,41.61746987951807,management,1.0,tertiary,1136.7502401536983,no,yes,370.0,4,-1,unknown,no
3137,42.0,blue-collar,2.0,secondary,368.0,yes,yes,429.0,2,-1,unknown,no
3146,32.0,housemaid,2.0,tertiary,357.0,yes,no,175.0,2,-1,unknown,no
3150,41.61746987951807,technician,2.0,secondary,9146.0,no,no,136.0,4,-1,unknown,no
3156,23.0,admin.,1.0,secondary,589.0,yes,no,62.0,1,-1,unknown,no
3161,41.61746987951807,technician,2.0,secondary,556.0,yes,no,460.0,2,-1,unknown,yes
3171,28.0,blue-collar,1.0,primary,1199.0,yes,no,1011.0,20,-1,unknown,yes
3175,38.0,admin.,0.0,secondary,156.0,yes,no,544.0,3,-1,unknown,yes
3193,41.61746987951807,retired,0.0,primary,86.0,no,no,192.0,1,-1,unknown,no
3200,41.61746987951807,student,1.0,unknown,3298.0,yes,no,227.0,1,-1,unknown,no
3215,40.0,technician,2.0,secondary,99.0,yes,no,252.0,3,-1,unknown,no
3234,39.0,management,1.0,tertiary,3797.0,no,no,96.0,2,-1,unknown,no
3256,36.0,management,2.0,tertiary,495.0,no,no,213.0,3,182,success,no
3272,44.0,services,1.0,secondary,545.0,yes,no,20.0,6,175,other,no
3283,45.0,blue-collar,2.0,primary,2128.0,yes,no,149.0,4,-1,unknown,no
3313,36.0,services,2.0,primary,179.0,no,no,411.0,1,-1,unknown,no
3334,46.0,unemployed,0.0,primary,23.0,no,no,344.0,1,-1,unknown,no
3359,25.0,unemployed,1.0,secondary,34.0,yes,yes,316.0,1,-1,unknown,no
3367,27.0,admin.,2.0,secondary,897.0,no,no,397.0,1,-1,unknown,no
3406,41.61746987951807,admin.,1.0,secondary,926.0,yes,yes,191.0,1,-1,unknown,no
3446,38.0,services,2.0,secondary,8876.0,no,no,280.0,1,75,failure,no
3455,33.0,technician,0.0,secondary,-35.0,no,yes,109.0,1,-1,unknown,no
3457,30.0,management,1.0,tertiary,6164.0,yes,no,152.0,11,-1,unknown,no
3482,59.0,retired,2.0,secondary,576.0,yes,no,471.0,2,-1,unknown,yes
3506,54.0,management,2.0,tertiary,3.0,no,yes,443.0,1,-1,unknown,yes
3534,47.0,admin.,1.0,secondary,1544.0,yes,no,104.0,1,312,failure,no
3542,36.0,services,2.0,secondary,1746.0,yes,no,99.0,1,-1,unknown,no
3549,47.0,blue-collar,2.0,primary,292.0,no,yes,210.0,3,-1,unknown,no
3553,68.0,retired,2.0,secondary,19317.0,yes,no,249.0,1,-1,unknown,no
3554,43.0,technician,2.0,secondary,5.0,no,no,63.0,1,-1,unknown,no
3556,49.0,technician,2.0,tertiary,3726.0,no,no,875.0,2,-1,unknown,yes
3577,32.0,management,2.0,tertiary,1136.7502401536983,no,no,104.0,9,-1,unknown,no
3595,30.0,blue-collar,1.0,secondary,447.0,no,no,103.0,6,-1,unknown,no
3598,43.0,admin.,2.0,secondary,3215.0,yes,no,228.0,3,-1,unknown,no
3604,36.0,technician,2.0,tertiary,1136.7502401536983,no,no,147.0,2,-1,unknown,no
3609,55.0,management,2.0,tertiary,1136.7502401536983,yes,no,159.0,2,-1,unknown,no
3626,41.61746987951807,technician,2.0,secondary,114.0,yes,yes,153.0,1,309,other,no
3630,44.0,technician,0.0,unknown,759.0,yes,no,397.0,1,-1,unknown,no
3652,29.0,admin.,1.0,secondary,17.0,yes,no,30.0,1,357,other,no
3656,33.0,student,1.0,unknown,5969.0,no,no,156.0,2,127,failure,no
3664,41.61746987951807,technician,2.0,secondary,351.0,yes,no,467.0,1,-1,unknown,yes
3673,36.0,entrepreneur,2.0,tertiary,357.0,no,no,2769.0,4,-1,unknown,yes
3682,43.0,management,0.0,tertiary,497.0,no,no,66.0,1,363,failure,no
3696,31.0,services,1.0,secondary,31.0,yes,yes,501.0,2,-1,unknown,yes
3709,44.0,entrepreneur,2.0,secondary,6649.0,yes,no,354.0,2,-1,unknown,no
3722,29.0,self-employed,2.0,secondary,-76.0,yes,no,305.0,2,-1,unknown,no
3725,49.0,unemployed,2.0,primary,-384.0,yes,no,25.0,1,-1,unknown,no
3726,45.0,technician,2.0,unknown,473.0,yes,no,147.0,1,-1,unknown,no
3729,42.0,entrepreneur,2.0,primary,149.0,no,no,94.0,2,-1,unknown,no
3731,52.0,retired,2.0,secondary,424.0,no,no,143.0,1,154,failure,no
3732,41.61746987951807,blue-collar,1.0,secondary,79.0,no,yes,104.0,1,-1,unknown,no
3744,26.0,admin.,1.0,secondary,321.0,yes,no,242.0,7,-1,unknown,no
3750,79.0,retired,0.0,unknown,2628.0,no,no,220.0,7,450,failure,no
3751,39.0,technician,2.0,secondary,116.0,no,no,79.0,2,94,success,no
3756,42.0,services,2.0,secondary,96.0,yes,no,238.0,3,340,failure,no
3758,31.0,blue-collar,2.0,secondary,472.0,yes,no,907.0,2,-1,unknown,yes
3774,41.61746987951807,blue-collar,2.0,secondary,1298.0,yes,no,264.7240200546946,1,-1,unknown,no
3795,39.0,services,2.0,secondary,5731.0,yes,no,175.0,2,-1,unknown,no
3797,30.0,technician,1.0,tertiary,2325.0,yes,no,270.0,3,241,other,no
3799,31.0,blue-collar,2.0,secondary,1664.0,yes,no,158.0,1,182,success,no
3829,41.0,admin.,0.0,secondary,-365.0,yes,no,226.0,10,-1,unknown,no
3845,31.0,blue-collar,2.0,secondary,1495.0,yes,yes,159.0,3,-1,unknown,no
3846,49.0,admin.,2.0,secondary,381.0,no,no,504.0,2,-1,unknown,yes
3848,26.0,management,1.0,tertiary,1274.0,yes,no,190.0,1,84,failure,no
3871,30.0,unemployed,2.0,secondary,142.0,yes,no,350.0,4,-1,unknown,no
3875,27.0,housemaid,2.0,secondary,4848.0,yes,yes,82.0,3,-1,unknown,no
3881,44.0,technician,1.0,secondary,1679.0,no,no,718.0,1,-1,unknown,yes
3882,38.0,management,2.0,tertiary,1198.0,yes,no,63.0,1,-1,unknown,no
3895,31.0,technician,2.0,secondary,376.0,yes,no,129.0,1,-1,unknown,no
3902,55.0,blue-collar,2.0,secondary,111.0,yes,no,112.0,2,-1,unknown,no
3905,41.61746987951807,blue-collar,2.0,secondary,1136.7502401536983,no,no,94.0,1,-1,unknown,no
3910,49.0,admin.,2.0,secondary,1444.0,yes,no,60.0,1,-1,unknown,no
3916,38.0,entrepreneur,2.0,tertiary,1136.7502401536983,yes,no,185.0,3,-1,unknown,no
3924,44.0,services,2.0,secondary,1989.0,yes,yes,106.0,2,-1,unknown,no
3932,25.0,management,2.0,tertiary,-242.0,yes,yes,600.0,4,332,other,yes
3938,32.0,services,2.0,secondary,162.0,yes,no,297.0,2,-1,unknown,no
3941,58.0,blue-collar,2.0,primary,1136.7502401536983,yes,no,535.0,2,-1,unknown,yes
3946,28.0,admin.,2.0,secondary,934.0,yes,no,53.0,2,-1,unknown,no
3947,48.0,blue-collar,2.0,secondary,-19.0,no,yes,270.0,1,-1,unknown,no
3959,54.0,retired,0.0,primary,22.0,no,no,23.0,4,-1,unknown,no
3965,58.0,retired,2.0,primary,592.0,no,no,199.0,6,-1,unknown,no
3976,48.0,management,2.0,tertiary,-13.0,yes,no,20.0,6,291,other,no
3983,40.0,technician,0.0,tertiary,1871.0,yes,no,64.0,1,-1,unknown,no
3991,31.0,admin.,1.0,secondary,5527.0,yes,no,132.0,1,-1,unknown,no
4001,36.0,technician,2.0,secondary,191.0,no,no,69.0,1,-1,unknown,no
4005,55.0,blue-collar,2.0,primary,186.0,yes,no,146.0,1,272,failure,no
4006,55.0,blue-collar,2.0,secondary,471.0,yes,no,58.0,2,-1,unknown,no
4009,38.0,housemaid,0.0,secondary,7.0,no,no,255.0,3,148,success,no
4011,41.0,technician,2.0,secondary,162.0,yes,no,142.0,1,-1,unknown,no
4013,39.0,technician,2.0,unknown,839.0,no,no,825.0,2,-1,unknown,yes
4036,40.0,technician,2.0,secondary,4441.0,yes,no,153.0,2,183,failure,no
4037,42.0,management,0.0,tertiary,1136.7502401536983,no,no,131.0,2,-1,unknown,no
4051,69.0,retired,2.0,primary,279.0,no,no,26.0,1,-1,unknown,no
4055,29.0,management,1.0,tertiary,1673.0,no,no,200.0,2,159,other,no
4057,28.0,blue-collar,2.0,secondary,1.0,yes,yes,132.0,2,-1,unknown,no
4067,41.61746987951807,technician,2.0,secondary,26.0,no,no,264.7240200546946,6,-1,unknown,no
4085,41.61746987951807,management,2.0,tertiary,1136.7502401536983,yes,no,295.0,3,-1,unknown,no
4088,42.0,blue-collar,2.0,primary,26.0,yes,no,175.0,2,-1,unknown,no
4105,39.0,entrepreneur,2.0,secondary,1136.7502401536983,no,no,108.0,7,-1,unknown,no
4137,59.0,unknown,2.0,unknown,394.0,no,no,48.0,2,-1,unknown,no
4141,37.0,management,2.0,tertiary,1136.7502401536983,no,no,129.0,4,107,failure,no
4151,32.0,services,1.0,secondary,2478.0,no,yes,395.0,1,-1,unknown,no
4162,56.0,technician,0.0,tertiary,41.0,yes,no,26.0,1,-1,unknown,no
4165,59.0,management,2.0,tertiary,1881.0,no,no,264.7240200546946,2,-1,unknown,no
4205,44.0,services,0.0,secondary,1136.7502401536983,yes,yes,97.0,1,-1,unknown,no
4213,30.0,technician,1.0,secondary,-522.0,yes,yes,670.0,2,286,failure,yes
4217,38.0,unemployed,2.0,tertiary,2812.0,yes,no,830.0,1,-1,unknown,yes
4220,33.0,blue-collar,1.0,secondary,-416.0,yes,no,767.0,2,-1,unknown,yes
4240,45.0,admin.,2.0,secondary,-547.0,yes,no,214.0,2,-1,unknown,no
4250,32.0,management,1.0,tertiary,2.0,yes,no,100.0,2,-1,unknown,no
4261,58.0,retired,2.0,secondary,3382.0,no,yes,294.0,2,309,failure,no
4263,25.0,student,2.0,tertiary,1.0,yes,no,857.0,4,-1,unknown,yes
4270,37.0,management,0.0,tertiary,896.0,no,yes,343.0,2,-1,unknown,no
4275,41.61746987951807,management,2.0,tertiary,15.0,no,no,921.0,2,-1,unknown,yes
4282,41.61746987951807,admin.,0.0,secondary,-251.0,no,no,641.0,1,-1,unknown,yes
4283,46.0,services,0.0,secondary,5.0,yes,yes,305.0,2,-1,unknown,no
4298,26.0,admin.,1.0,secondary,3529.0,no,yes,57.0,2,-1,unknown,no
4310,36.0,management,2.0,tertiary,1852.0,yes,no,362.0,1,-1,unknown,no
4312,30.0,services,1.0,secondary,2.0,yes,no,404.0,6,340,failure,no
4342,50.0,blue-collar,2.0,unknown,2284.0,yes,no,1088.0,17,-1,unknown,yes
4352,47.0,blue-collar,2.0,primary,2642.0,no,no,310.0,2,-1,unknown,no
4368,54.0,services,0.0,secondary,112.0,yes,no,33.0,3,175,other,no
4374,45.0,services,0.0,primary,3854.0,yes,no,10.0,3,-1,unknown,no
4384,52.0,management,1.0,tertiary,4.0,no,yes,30.0,9,-1,unknown,no
4407,45.0,admin.,0.0,secondary,59.0,yes,no,873.0,8,-1,unknown,yes
4426,41.0,admin.,2.0,tertiary,1536.0,no,no,54.0,2,-1,unknown,no
4441,38.0,management,2.0,tertiary,12877.0,no,no,118.0,3,-1,unknown,no
4442,39.0,blue-collar,2.0,primary,156.0,yes,no,299.0,2,-1,unknown,no
4446,22.0,student,1.0,secondary,246.0,yes,no,25.0,1,-1,unknown,no
4448,44.0,unemployed,2.0,secondary,34.0,yes,no,129.0,2,-1,unknown,no
4460,40.0,technician,2.0,secondary,-396.0,yes,no,127.0,1,-1,unknown,no
4470,31.0,technician,1.0,tertiary,1166.0,yes,no,207.0,1,-1,unknown,no
4471,59.0,management,2.0,unknown,3534.0,no,no,216.0,4,-1,unknown,no
4473,33.0,technician,2.0,secondary,479.0,yes,no,137.0,1,272,failure,no
4477,32.0,management,1.0,tertiary,577.0,no,no,101.0,2,-1,unknown,no
4482,46.0,admin.,2.0,secondary,466.0,yes,no,264.7240200546946,1,-1,unknown,no
